fl,fs,duo_norm_fl,duo_norm_fs
ConvNeXt_Base,ConvNeXt_Small,26.011059805027845,20.996936102620744
ConvNeXt_Base,ConvNeXt_Tiny,26.107160720802614,23.947061530801246
ConvNeXt_Base,EfficientNet_B0,28.401466087691695,29.393389098043716
ConvNeXt_Base,EfficientNet_B1,27.085727509521575,25.315063692837843
ConvNeXt_Base,EfficientNet_B2,27.163462176608938,28.216046681985063
ConvNeXt_Base,EfficientNet_B3,25.996340321255094,50.16965516521842
ConvNeXt_Base,EfficientNet_B4,20.781363865225952,46.185862296224826
ConvNeXt_Base,EfficientNet_B5,16.932789041696033,33.16112630453833
ConvNeXt_Base,MNASNet0_5,38.05524537749071,18.78848569551731
ConvNeXt_Base,MNASNet0_75,38.01776859258105,13.840913759877287
ConvNeXt_Base,MNASNet1_0,28.156458257850286,62.41057642878247
ConvNeXt_Base,MNASNet1_3,37.745924835768655,11.840966092555284
ConvNeXt_Base,RegNet_X_1_6GF,27.071552934307412,22.44136183816973
ConvNeXt_Base,RegNet_X_3_2GF,26.663457714998287,19.243308471841328
ConvNeXt_Base,RegNet_X_400MF,37.96091558870342,11.363044397881795
ConvNeXt_Base,RegNet_X_800MF,37.8368254723221,9.713184305685035
ConvNeXt_Base,RegNet_X_8GF,27.73963590194402,15.174389425504206
ConvNeXt_Base,ResNeXt50_32X4D,28.123604451531374,15.086432339052221
ConvNeXt_Base,ResNet101,27.519618827079952,15.14314499203245
ConvNeXt_Base,ResNet152,27.263526327578955,14.402288764050788
ConvNeXt_Base,ResNet50,27.805958766381927,17.512168906466666
ConvNeXt_Base,ShuffleNet_V2_X0_5,38.20783939671849,24.046681758998844
ConvNeXt_Base,ShuffleNet_V2_X1_0,38.00508747082903,21.02676767723407
ConvNeXt_Base,ShuffleNet_V2_X1_5,38.02184031596865,12.023061587966783
ConvNeXt_Base,ShuffleNet_V2_X2_0,38.131214054371824,10.076843227481243
ConvNeXt_Base,Swin_S,26.22818560776813,18.65071710190727
ConvNeXt_Base,Swin_T,26.74140543166504,20.990170187815373
ConvNeXt_Base,Swin_V2_S,25.347053522580726,18.35638050078688
ConvNeXt_Base,Swin_V2_T,26.472396870602637,18.977278334524655
Swin_V2_B,ConvNeXt_Base,26.1889286557976,16.95113708535677
Swin_V2_B,ConvNeXt_Small,26.364376200428158,17.49064522352909
Swin_V2_B,ConvNeXt_Tiny,26.249142519132626,20.13783303360633
Swin_V2_B,EfficientNet_B0,27.595796279714556,26.03741183336937
Swin_V2_B,EfficientNet_B1,27.001596036472016,21.39001067300095
Swin_V2_B,EfficientNet_B2,27.239715284534647,24.034207036480147
Swin_V2_B,EfficientNet_B3,26.32185007709437,41.70682742928902
Swin_V2_B,EfficientNet_B4,20.62140169025713,45.33628524319412
Swin_V2_B,EfficientNet_B5,17.150260091978645,32.23184011200609
Swin_V2_B,EfficientNet_B6,16.714596757975016,31.86121570275366
Swin_V2_B,MNASNet0_5,28.792881371795463,34.68597178617319
Swin_V2_B,MNASNet0_75,28.711156946170185,25.22210465846437
Swin_V2_B,MNASNet1_0,27.558605325302207,52.41826586554712
Swin_V2_B,MNASNet1_3,28.06023049569403,21.73616786276793
Swin_V2_B,RegNet_X_16GF,27.190586924560133,13.0441607683896
Swin_V2_B,RegNet_X_1_6GF,27.30587091288315,17.91211409293844
Swin_V2_B,RegNet_X_3_2GF,26.85100281073927,16.10090350526352
Swin_V2_B,RegNet_X_400MF,28.85886950758761,20.09727075377683
Swin_V2_B,RegNet_X_800MF,28.28703364334716,17.727799773449384
Swin_V2_B,RegNet_X_8GF,27.406574655740883,13.154289038918506
Swin_V2_B,ResNeXt101_32X8D,22.054057609278733,18.581138091276515
Swin_V2_B,ResNeXt101_64X4D,26.473908936255572,14.815128982847789
Swin_V2_B,ResNeXt50_32X4D,27.067550892615984,15.176551607880143
Swin_V2_B,ResNet101,26.727118515745158,15.246098271840536
Swin_V2_B,ResNet152,26.667202133585977,14.355870278208766
Swin_V2_B,ResNet50,26.838595393188307,17.697193032143858
Swin_V2_B,ShuffleNet_V2_X0_5,37.7616439359264,16.116897889349506
Swin_V2_B,ShuffleNet_V2_X1_0,28.515391777847512,40.13746068508427
Swin_V2_B,ShuffleNet_V2_X1_5,28.498655315640068,23.59293315470828
Swin_V2_B,ShuffleNet_V2_X2_0,27.930577087578698,22.312270155689447
Swin_V2_B,Swin_B,20.930797861338373,21.846043168205046
Swin_V2_B,Swin_S,26.877658840799032,15.415987032896577
Swin_V2_B,Swin_T,27.08425198065245,17.668015398599447
Swin_V2_B,Swin_V2_S,21.13443009851222,20.141534115849698
Swin_V2_B,Swin_V2_T,27.127264313422348,15.547899113941183
Swin_V2_B,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,15.90213505170082,38.321374367278096
tf_efficientnetv2_l.in21k_ft_in1k,ConvNeXt_Base,38.47309950149879,16.37933191755353
tf_efficientnetv2_l.in21k_ft_in1k,ConvNeXt_Large,38.04493938843622,16.097640140624755
tf_efficientnetv2_l.in21k_ft_in1k,ConvNeXt_Small,38.51701300633307,17.074704936046118
tf_efficientnetv2_l.in21k_ft_in1k,ConvNeXt_Tiny,38.47444598050667,19.563375303012087
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B0,40.308419874522954,28.41038996008088
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B1,39.718671433558974,20.737075932391274
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B2,39.57604743447641,26.412585039027697
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B3,38.886419115733794,39.946813463395074
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B4,37.81476141144874,34.48341148724887
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B5,37.11021556730469,21.30484244054709
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B6,36.567088687631575,21.35712049517177
tf_efficientnetv2_l.in21k_ft_in1k,MNASNet0_5,53.50251827171791,16.152110947079933
tf_efficientnetv2_l.in21k_ft_in1k,MNASNet0_75,53.35724010552252,12.330495059593618
tf_efficientnetv2_l.in21k_ft_in1k,MNASNet1_0,39.971989398733946,61.28047335017165
tf_efficientnetv2_l.in21k_ft_in1k,MNASNet1_3,53.34668587283045,9.53020005822205
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_16GF,39.54112649147294,14.232517545349134
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_1_6GF,40.389387669750604,17.235534597161656
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_32GF,38.66496409962315,14.892178879321087
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_3_2GF,39.6559556610346,15.467166817778821
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_400MF,53.57397619721754,9.15668991798926
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_800MF,53.05648507739045,8.676340651267983
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_8GF,39.960035555391606,14.344085947230463
tf_efficientnetv2_l.in21k_ft_in1k,ResNeXt101_32X8D,38.58111285109579,14.826747730385023
tf_efficientnetv2_l.in21k_ft_in1k,ResNeXt101_64X4D,39.25405422891931,14.065229937496722
tf_efficientnetv2_l.in21k_ft_in1k,ResNeXt50_32X4D,40.23213363659336,14.548492769193816
tf_efficientnetv2_l.in21k_ft_in1k,ResNet101,39.66951941905406,14.491343849484425
tf_efficientnetv2_l.in21k_ft_in1k,ResNet152,39.47445160594806,13.722476522876498
tf_efficientnetv2_l.in21k_ft_in1k,ResNet50,39.53775755184898,17.092292948594867
tf_efficientnetv2_l.in21k_ft_in1k,ShuffleNet_V2_X0_5,53.855250299328034,19.300439936798377
tf_efficientnetv2_l.in21k_ft_in1k,ShuffleNet_V2_X1_0,53.577526177403264,17.24545286180006
tf_efficientnetv2_l.in21k_ft_in1k,ShuffleNet_V2_X1_5,53.27185311284189,10.859383913510849
tf_efficientnetv2_l.in21k_ft_in1k,ShuffleNet_V2_X2_0,53.36149551808976,9.184622527104233
tf_efficientnetv2_l.in21k_ft_in1k,Swin_B,37.86184508998345,17.65521433717546
tf_efficientnetv2_l.in21k_ft_in1k,Swin_S,38.35703116715934,17.47116292921566
tf_efficientnetv2_l.in21k_ft_in1k,Swin_T,38.67419467859666,20.031865764163012
tf_efficientnetv2_l.in21k_ft_in1k,Swin_V2_B,37.70213115054001,16.521812229577463
tf_efficientnetv2_l.in21k_ft_in1k,Swin_V2_S,38.22471636781539,16.164956428940066
tf_efficientnetv2_l.in21k_ft_in1k,Swin_V2_T,38.65818763082254,17.675633470602946
tf_efficientnetv2_l.in21k_ft_in1k,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,25.492217436449454,35.45160741518589
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ConvNeXt_Base,39.27821272431653,15.784549948233611
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ConvNeXt_Small,39.59944198661596,16.252694196569337
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ConvNeXt_Tiny,39.45752918464105,18.688546168288646
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B0,53.661875578737465,9.590992822556208
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B1,53.41912036217389,7.920429496910393
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B2,53.508249913131145,9.169323357103627
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B3,39.840735047281925,38.177301996052286
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B4,38.35914884197057,33.50617546946276
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B5,37.898687869234415,20.417018452275755
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,MNASNet0_5,53.72290073149198,14.15173773214155
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,MNASNet0_75,53.55622881989467,11.108466731293394
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,MNASNet1_0,52.93567137349086,22.288333735822885
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,MNASNet1_3,53.5424943360583,8.667377401576779
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_16GF,53.662948136822045,4.709210575376931
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_1_6GF,53.6370364776072,6.361416108478019
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_3_2GF,53.565237719539084,5.538002322016189
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_400MF,53.750611495329,8.330331609580451
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_800MF,53.633380870899884,7.111234962054392
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_8GF,53.73610582370978,4.7717780402954615
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNeXt101_32X8D,39.74054529733651,13.91810048468055
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNeXt101_64X4D,40.355430941069265,13.256760826318303
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNeXt50_32X4D,53.72639639213442,5.045468863249505
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNet101,53.649092305432646,4.95355793189479
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNet152,53.63942479630792,4.666562582632419
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNet50,40.55703093178419,16.22488971841673
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ShuffleNet_V2_X0_5,53.90256765033982,17.56370653391184
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ShuffleNet_V2_X1_0,53.64284655602657,15.81838924674326
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ShuffleNet_V2_X1_5,53.693225271971016,9.07088366977481
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ShuffleNet_V2_X2_0,53.73645729854807,7.78633806105776
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_B,39.15545525243815,14.8852247722984
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_S,39.820011294476814,14.713452998955924
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_T,39.6621042802193,18.91135077187516
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_V2_S,38.74319336052266,15.613351557878438
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_V2_T,39.54842722430005,16.764230071560142
