fl,fs,duo_norm_fl,duo_norm_fs
Swin_V2_B,ConvNeXt_Small,47.3671012462902,71.18940867946307
Swin_V2_B,ConvNeXt_Tiny,48.21836805213647,71.08548093672748
Swin_V2_B,EfficientNet_B0,77.5499982565975,57.159903082400255
Swin_V2_B,EfficientNet_B1,77.56862181719583,45.41492287638376
Swin_V2_B,EfficientNet_B2,59.82413530671972,83.98843019249864
Swin_V2_B,EfficientNet_B5,49.987639963856836,61.46424938094134
Swin_V2_B,MNASNet0_5,89.97814665873511,48.75581050396884
Swin_V2_B,MNASNet0_75,78.58865508083761,69.64758037668435
Swin_V2_B,MNASNet1_0,75.95836379133124,90.77277763170655
Swin_V2_B,MNASNet1_3,88.72424215466776,41.24682282148558
Swin_V2_B,RegNet_X_16GF,77.91419601575134,135.866679419659
Swin_V2_B,RegNet_X_1_6GF,78.19551526483555,86.60747032953893
Swin_V2_B,RegNet_X_3_2GF,88.27487142584647,58.87609173434342
Swin_V2_B,RegNet_X_400MF,88.5624736399742,42.05796666287749
Swin_V2_B,RegNet_X_800MF,78.73995135502089,64.73366081812374
Swin_V2_B,RegNet_X_8GF,88.49304725579809,60.14192270376978
Swin_V2_B,ResNeXt101_32X8D,78.5504574912822,126.400598345954
Swin_V2_B,ResNeXt101_64X4D,78.19984466261799,101.04113609272123
Swin_V2_B,ResNeXt50_32X4D,79.65950672988774,61.37718453178437
Swin_V2_B,ResNet101,76.91865098964698,140.3353765533975
Swin_V2_B,ResNet152,88.55702889719585,102.12289719356208
Swin_V2_B,ResNet50,77.5992959014924,99.37625530844075
Swin_V2_B,ShuffleNet_V2_X0_5,68.1654856163988,205.63965438248147
Swin_V2_B,ShuffleNet_V2_X1_0,77.71840027501344,103.29514323882555
Swin_V2_B,ShuffleNet_V2_X1_5,77.58583153430331,120.67676232292884
Swin_V2_B,ShuffleNet_V2_X2_0,78.9063335270891,129.7552631654278
Swin_V2_B,Swin_B,87.80076063629542,21.307744403212283
Swin_V2_B,Swin_S,54.86152235070732,58.55208719480837
Swin_V2_B,Swin_T,78.4905860284102,45.475772385201296
Swin_V2_B,Swin_V2_S,60.90038709093981,96.44432164892206
Swin_V2_B,Swin_V2_T,77.20561203052276,23.956068764842467
Swin_V2_B,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,61.710541930961874,45.163096942786396
tf_efficientnetv2_l.in21k_ft_in1k,ConvNeXt_Small,144.6258153627394,63.7205609599717
tf_efficientnetv2_l.in21k_ft_in1k,ConvNeXt_Tiny,142.95351401169407,68.56812339587128
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B0,189.05670060599567,75.22973220263515
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B1,210.53799337807123,49.88786705996934
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B2,161.76358265626575,85.29328476484528
tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet_B5,145.00553978360264,60.884304902891536
tf_efficientnetv2_l.in21k_ft_in1k,MNASNet0_5,218.64757148447245,80.73234919170609
tf_efficientnetv2_l.in21k_ft_in1k,MNASNet0_75,211.64322391397235,77.69805703146847
tf_efficientnetv2_l.in21k_ft_in1k,MNASNet1_0,186.71778023228617,113.05574757852888
tf_efficientnetv2_l.in21k_ft_in1k,MNASNet1_3,214.40628261659418,61.47986429874994
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_16GF,212.57756782107725,151.5364324308163
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_1_6GF,212.7852515615906,91.90775043324396
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_3_2GF,212.59326774907265,79.46048210156835
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_400MF,216.58682770295468,58.64591291732688
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_800MF,211.57713491598255,70.90992812159537
tf_efficientnetv2_l.in21k_ft_in1k,RegNet_X_8GF,217.2563386652634,83.54213326665041
tf_efficientnetv2_l.in21k_ft_in1k,ResNeXt101_32X8D,215.97974131851782,132.36979987725144
tf_efficientnetv2_l.in21k_ft_in1k,ResNeXt101_64X4D,212.53618821488243,107.86356348070666
tf_efficientnetv2_l.in21k_ft_in1k,ResNeXt50_32X4D,218.05941074787796,67.9696621883567
tf_efficientnetv2_l.in21k_ft_in1k,ResNet101,189.71796221893428,179.88831554172296
tf_efficientnetv2_l.in21k_ft_in1k,ResNet152,217.01509650557026,142.82965151604836
tf_efficientnetv2_l.in21k_ft_in1k,ResNet50,211.82002250134104,105.25784135350963
tf_efficientnetv2_l.in21k_ft_in1k,ShuffleNet_V2_X0_5,184.33784571603488,228.21368475518406
tf_efficientnetv2_l.in21k_ft_in1k,ShuffleNet_V2_X1_0,211.05656249314038,120.49121368826091
tf_efficientnetv2_l.in21k_ft_in1k,ShuffleNet_V2_X1_5,212.07637159415336,130.57864080664862
tf_efficientnetv2_l.in21k_ft_in1k,ShuffleNet_V2_X2_0,214.40184545295395,149.2748190649097
tf_efficientnetv2_l.in21k_ft_in1k,Swin_B,211.85631208470332,27.229198933076315
tf_efficientnetv2_l.in21k_ft_in1k,Swin_S,146.7608141964606,58.688984399679825
tf_efficientnetv2_l.in21k_ft_in1k,Swin_T,184.98456576862705,63.712894530091454
tf_efficientnetv2_l.in21k_ft_in1k,Swin_V2_B,147.37499988298876,53.63869177329068
tf_efficientnetv2_l.in21k_ft_in1k,Swin_V2_S,162.14967074653882,98.37684947525477
