Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model_large,model_small,mode,wrapper,uncertainty_type,gflops_large,gflops_small,gflops_balance,split
0.8432631578947368,0.8414803154852722,0.00023252257190329665,0.6345745424097091,0.0284561850130558,0.8591483201531407,0.044389823210034304,0.03140763117205894,0.8833473684210527,0.8578526315789474,0.8322736842105263,0.8001052631578948,0.7679578947368421,0.7260210526315789,0.6687157894736843,0.5678105263157894,0.26248421052631576,0.004926315789473684,ConvNeXt_Base,ConvNeXt_Small,logit_average,DuoWrapper,softmax_response,15.36,8.68,0.5651,test
0.8432631578947368,0.8414803154852722,0.00023252257190329665,0.6345745424097091,0.0284561850130558,0.8393513837881912,0.049875627870428624,0.03689343583245326,0.8730947368421053,0.8424421052631579,0.8144,0.7805473684210527,0.7442315789473685,0.6983157894736842,0.6123157894736843,0.41338947368421053,0.011389473684210526,0.00391578947368421,ConvNeXt_Base,ConvNeXt_Small,logit_average,DuoWrapper,entropy,15.36,8.68,0.5651,test
0.8408,0.8387341505429585,0.00023252257190329665,0.6345745424097091,0.0284561850130558,0.8619861131884811,0.04465737251044885,0.031251643813676316,0.8809052631578947,0.8561473684210527,0.830421052631579,0.7987157894736842,0.7672,0.7256,0.6687157894736843,0.5678105263157894,0.26248421052631576,0.004926315789473684,ConvNeXt_Base,ConvNeXt_Small,dictatorial_avguncertainty,DuoWrapper,softmax_response,15.36,8.68,0.5651,test
0.8408,0.8387341505429585,0.00023252257190329665,0.6345745424097091,0.0284561850130558,0.8426951536187623,0.05010783801391569,0.036702109317143156,0.8691578947368421,0.8406105263157895,0.8135157894736842,0.7802736842105263,0.7441263157894736,0.6982736842105263,0.6123157894736843,0.41338947368421053,0.011389473684210526,0.00391578947368421,ConvNeXt_Base,ConvNeXt_Small,dictatorial_avguncertainty,DuoWrapper,entropy,15.36,8.68,0.5651,test
0.8408,0.8387341505429585,0.00023379099734357795,0.6340089075195555,0.04113079234957695,0.8643260135066004,0.04385690979832745,0.030451181101554918,0.8819157894736842,0.8569473684210527,0.8317263157894736,0.7992210526315789,0.7684421052631579,0.7276631578947368,0.6712842105263158,0.5876210526315789,0.31922105263157896,0.005010526315789474,ConvNeXt_Base,ConvNeXt_Small,dictatorial_weighteduncertainty,DuoWrapper,softmax_response,15.36,8.68,0.5651,test
0.8408,0.8387341505429585,0.00023379099734357795,0.6340089075195555,0.04113079234957695,0.8485834874258751,0.04842712451400646,0.03502139581723392,0.8732,0.8456210526315789,0.8185052631578947,0.7884842105263158,0.7522947368421052,0.7088,0.6293052631578947,0.44494736842105265,0.056863157894736845,0.005031578947368421,ConvNeXt_Base,ConvNeXt_Small,dictatorial_weighteduncertainty,DuoWrapper,entropy,15.36,8.68,0.5651,test
0.843178947368421,0.8413796412500324,0.00023379099734357795,0.6340089075195555,0.04113079234957695,0.8614507709543737,0.04362427764888065,0.03062772462895943,0.8834947368421052,0.8584421052631579,0.8325052631578947,0.8000631578947368,0.7686315789473684,0.7276631578947368,0.6712842105263158,0.5876210526315789,0.31922105263157896,0.005010526315789474,ConvNeXt_Base,ConvNeXt_Small,temperature_weighted,DuoWrapper,softmax_response,15.36,8.68,0.5651,test
0.843178947368421,0.8413796412500324,0.00023379099734357795,0.6340089075195555,0.04113079234957695,0.845143565594624,0.04824703856131708,0.03525048554139587,0.8753052631578947,0.8466105263157895,0.8186105263157895,0.7884842105263158,0.752378947368421,0.7090736842105263,0.6293052631578947,0.44494736842105265,0.056863157894736845,0.005031578947368421,ConvNeXt_Base,ConvNeXt_Small,temperature_weighted,DuoWrapper,entropy,15.36,8.68,0.5651,test
0.8402526315789474,0.8384845365334102,0.00023594022615736141,0.6345570016614333,0.03256511315703392,0.8613359627738748,0.0444692427420816,0.03096841559095647,0.8781473684210527,0.8532631578947368,0.8267157894736842,0.7944631578947369,0.7623157894736842,0.7222526315789474,0.6659368421052632,0.5713052631578948,0.32317894736842107,0.007873684210526316,ConvNeXt_Base,ConvNeXt_Tiny,logit_average,DuoWrapper,softmax_response,15.36,4.46,0.29036,test
0.8402526315789474,0.8384845365334102,0.00023594022615736141,0.6345570016614333,0.03256511315703392,0.8433208782172651,0.04932078628634797,0.035819959135222845,0.8685473684210526,0.8398105263157895,0.8090526315789474,0.7753473684210527,0.7412842105263158,0.6882947368421053,0.606421052631579,0.45126315789473687,0.10044210526315789,0.008610526315789473,ConvNeXt_Base,ConvNeXt_Tiny,logit_average,DuoWrapper,entropy,15.36,4.46,0.29036,test
0.8408,0.8387341505429585,0.00023594022615736141,0.6345570016614333,0.03256511315703392,0.8600362232976586,0.04451193951958452,0.031106210822811987,0.877578947368421,0.8527157894736842,0.8266526315789474,0.794442105263158,0.7622105263157894,0.7215368421052631,0.6659368421052632,0.5712421052631579,0.32317894736842107,0.007873684210526316,ConvNeXt_Base,ConvNeXt_Tiny,dictatorial_avguncertainty,DuoWrapper,softmax_response,15.36,4.46,0.29036,test
0.8408,0.8387341505429585,0.00023594022615736141,0.6345570016614333,0.03256511315703392,0.8419522406649111,0.04936869873776031,0.03596297004098777,0.8666526315789473,0.838021052631579,0.8077473684210527,0.7755157894736842,0.7410947368421053,0.6885052631578947,0.606421052631579,0.4503157894736842,0.10044210526315789,0.008610526315789473,ConvNeXt_Base,ConvNeXt_Tiny,dictatorial_avguncertainty,DuoWrapper,entropy,15.36,4.46,0.29036,test
0.8408,0.8387341505429585,0.00023589199712716405,0.6334532720061623,0.038641855120658875,0.861874640485135,0.04404575326663848,0.030640024569865948,0.878,0.8539578947368421,0.8286315789473684,0.7974736842105263,0.7637894736842106,0.7236421052631579,0.6705473684210527,0.5770105263157894,0.26261052631578946,0.009136842105263158,ConvNeXt_Base,ConvNeXt_Tiny,dictatorial_weighteduncertainty,DuoWrapper,softmax_response,15.36,4.46,0.29036,test
