Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model,wrapper,uncertainty_type,gflops,params,split
0.7252,0.7222982554560122,0.0005414516278748221,1.7666186004341489,0.3427427411079407,0.7570599406999905,0.1544910963552332,0.1126897735335732,0.0014,0.0014,0.0014,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,ResNeXt101_32X8D,None,softmax_response,16.41,88.8,ood_test
0.7252,0.7222982554560122,0.0005414516278748221,1.7666186004341489,0.3427427411079407,0.6358530769206066,0.21116500155466753,0.16936367873300753,0.0014,0.0014,0.0014,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,ResNeXt101_32X8D,None,entropy,16.41,88.8,ood_test
0.7252,0.7222982554560122,0.00040509910480613975,1.30853317915391,0.0851701945066452,0.8177453280970124,0.11759689746740935,0.07579557464574936,0.5866,0.5459,0.4831,0.3815,0.002,0.0011,0.0011,0.0011,0.0011,0.0011,ResNeXt101_32X8D,TempScaleWrapper,softmax_response,16.41,88.8,ood_test
0.7252,0.7222982554560122,0.00040509910480613975,1.30853317915391,0.0851701945066452,0.7911650733703136,0.1309833546661778,0.08918203184451781,0.5115,0.389,0.1745,0.0018,0.0018,0.0012,0.0012,0.0012,0.0012,0.0012,ResNeXt101_32X8D,TempScaleWrapper,entropy,16.41,88.8,ood_test
0.7358,0.733050331399098,0.00040716191096426557,1.3509869540996207,0.13866959512233734,0.797685870395203,0.12429764014919133,0.08582561640655331,0.5501,0.4757,0.0031,0.0031,0.0018,0.001,0.001,0.001,0.001,0.001,ConvNeXt_Base,None,softmax_response,15.36,88.6,ood_test
0.7358,0.733050331399098,0.00040716191096426557,1.3509869540996207,0.13866959512233734,0.7198497199256209,0.1577858297079764,0.11931380596533839,0.0017,0.0017,0.0017,0.0017,0.0017,0.001,0.001,0.001,0.001,0.001,ConvNeXt_Base,None,entropy,15.36,88.6,ood_test
0.7358,0.733050331399098,0.00039258066788151643,1.2291302763113452,0.09829026460647583,0.8258031343474297,0.10720005285915267,0.06872802911651466,0.6282,0.5967,0.5494,0.484,0.3869,0.0025,0.0012,0.0012,0.0012,0.0012,ConvNeXt_Base,TempScaleWrapper,softmax_response,15.36,88.6,ood_test
0.7358,0.733050331399098,0.00039258066788151643,1.2291302763113452,0.09829026460647583,0.8075225531738026,0.11646354417623302,0.077991520433595,0.5942,0.5435,0.4693,0.3555,0.0035,0.0012,0.0012,0.0012,0.0012,0.0012,ConvNeXt_Base,TempScaleWrapper,entropy,15.36,88.6,ood_test
0.587,0.5820799311667589,0.0007112454931929418,2.522314203899668,0.3551768958568573,0.7957418399462115,0.20501831516320027,0.10471044561710337,0.2427,0.2241,0.1864,0.1458,0.1039,0.0857,0.0427,0.0067,0.0017,0.0017,MNASNet0_75,None,softmax_response,0.21,3.2,ood_test
0.587,0.5820799311667589,0.0007112454931929418,2.522314203899668,0.3551768958568573,0.7085450499317332,0.25382641052928856,0.15351854098319168,0.0697,0.0393,0.0352,0.0293,0.027,0.0184,0.0032,0.0019,0.0019,0.0019,MNASNet0_75,None,entropy,0.21,3.2,ood_test
0.587,0.5820799311667589,0.0005466882979950497,1.8170683648925918,0.057717982679605484,0.8347426277992501,0.17973419745990868,0.07942632791381178,0.3675,0.3448,0.3181,0.296,0.2743,0.2349,0.1858,0.0957,0.0617,0.0016,MNASNet0_75,TempScaleWrapper,softmax_response,0.21,3.2,ood_test
0.587,0.5820799311667589,0.0005466882979950497,1.8170683648925918,0.057717982679605484,0.8150616670310314,0.18872142048005588,0.08841355093395899,0.3395,0.3145,0.2989,0.2792,0.2504,0.2195,0.1641,0.0811,0.058,0.0016,MNASNet0_75,TempScaleWrapper,entropy,0.21,3.2,ood_test
0.6799,0.6765436014879972,0.0004543593921919721,1.5095461682340965,0.12915654480457306,0.8439738988023074,0.12219012389105412,0.06438603290090797,0.5241,0.4994,0.4616,0.4312,0.3953,0.343,0.2327,0.0181,0.0072,0.0071,EfficientNet_B1,None,softmax_response,0.69,7.8,ood_test
