Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model,wrapper,source,uncertainty_type,gflops,model_type
0.7358,0.733050331399098,0.0003925806658825,1.2291302766282086,0.0982902720570564,0.8258030314659032,0.1071999727641549,0.0687279490215169,0.6282,0.5967,0.5494,0.484,0.3869,0.0025,0.0012,0.0012,0.0012,0.0012,ConvNeXt_Base,TempScaleWrapper,torchvision,softmax_response,15.36,standard
0.7313,0.7279663474352093,0.0003945899520163,1.2408699303265671,0.102982684969902,0.8427565585011036,0.1005690413005684,0.0607024176842108,0.6361,0.608,0.5676,0.5318,0.4722,0.3915,0.2998,0.0013,0.0013,0.0013,Swin_V2_B,TempScaleWrapper,torchvision,softmax_response,20.32,standard
0.7436,0.7407102299039139,0.000381112624981,1.201289113801686,0.0923170745372772,0.8256722576595372,0.1039430824798693,0.0678232673839499,0.6409,0.6065,0.5597,0.5002,0.3769,0.0042,0.0041,0.0041,0.0032,0.0032,ConvNeXt_Large,TempScaleWrapper,torchvision,softmax_response,34.36,standard
0.7285,0.726166327476564,0.0003954070757321,1.242719091376294,0.0961684733629226,0.8437497772233113,0.0997272193424592,0.0589788803424792,0.6293,0.6032,0.5609,0.5232,0.4853,0.4141,0.3008,0.0002,0.0002,0.0002,Swin_V2_S,TempScaleWrapper,torchvision,softmax_response,11.55,standard
0.7317,0.7291235031684831,0.0003947313670954,1.243779839336712,0.0772095546126365,0.8229908538369767,0.1090136696426218,0.0692721292537003,0.6146,0.5756,0.5235,0.4423,0.3169,0.0513,0.0007,0.0007,0.0007,0.0007,ConvNeXt_Small,TempScaleWrapper,torchvision,softmax_response,8.68,standard
0.7143,0.7118253308544986,0.0004109907531862,1.2787512416522693,0.0851568207144737,0.8325060415137514,0.110757203251999,0.0653707515847828,0.5783,0.5262,0.4876,0.4302,0.3585,0.3001,0.1414,0.0071,0.0007,0.0007,ConvNeXt_Tiny,TempScaleWrapper,torchvision,softmax_response,4.46,standard
0.7037,0.6997032757198727,0.0004150020071205,1.3052196770099411,0.0809173062443733,0.8536083392392297,0.10296212300753,0.0539297052671094,0.6002,0.5726,0.5479,0.5193,0.476,0.4211,0.3599,0.1886,0.0556,0.0275,Swin_V2_T,TempScaleWrapper,torchvision,softmax_response,5.94,standard
0.6605,0.6573661159660974,0.000464902069847,1.5187581409755144,0.0648890808224678,0.8448820068698792,0.1297692407403094,0.0642000278421127,0.5006,0.4758,0.4367,0.3963,0.3557,0.3145,0.2542,0.1962,0.0661,0.0016,EfficientNet_B0,TempScaleWrapper,torchvision,softmax_response,0.39,standard
0.6799,0.6765436014879972,0.0004405206899567,1.3802975355778984,0.0776487439870834,0.8513034769662866,0.1154753276528971,0.057671236662751,0.5382,0.5152,0.4751,0.4415,0.4153,0.3747,0.317,0.257,0.0758,0.0322,EfficientNet_B1,TempScaleWrapper,torchvision,softmax_response,0.69,standard
0.6911,0.6861511255908377,0.0004319699033814,1.3636198998749371,0.0761604532599449,0.8431863588288201,0.116112580574365,0.0625383700674327,0.5583,0.5314,0.494,0.4581,0.3837,0.3187,0.2226,0.0184,0.0161,0.0075,EfficientNet_B2,TempScaleWrapper,torchvision,softmax_response,1.09,standard
