Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model,wrapper,uncertainty_type,gflops,params,split
0.7098356634780476,0.35570890037094127,0.002648183324510514,2.113045981619775,0.21169821918010712,0.8372357534549868,0.10365571158423878,0.05674973636578367,0.5645082168260976,0.5309050772626932,0.4806230071130733,0.41255825361785625,0.3789551140544518,0.31800343389747365,0.28660779985283297,0.2425803286730439,0.21658081922982586,0.15955359332842778,ResNeXt101_32X8D,None,softmax_response,16.41,88.8,test
0.7098356634780476,0.35570890037094127,0.002648183324510514,2.113045981619775,0.21169821918010712,0.8379928873157569,0.1035913155440414,0.05668534032558629,0.5637723816531763,0.5277164581800343,0.47841550159430957,0.41133186166298746,0.37490802060338485,0.3189845474613687,0.28685307824380674,0.24000490556781948,0.21584498405690458,0.15624233505028207,ResNeXt101_32X8D,None,entropy,16.41,88.8,test
0.7098356634780476,0.35570890037094127,0.002289128096044499,1.2460438518424448,0.0453471913933754,0.8137547822439641,0.11368281422708855,0.06677683900863343,0.5017169487368163,0.4205298013245033,0.37012509197939664,0.3393426539121903,0.30806965906303657,0.27103262202599954,0.24123129752268826,0.22038263428991905,0.19340201128280599,0.11479028697571744,ResNeXt101_32X8D,TempScaleWrapper,softmax_response,16.41,88.8,test
0.7098356634780476,0.35570890037094127,0.002289128096044499,1.2460438518424448,0.0453471913933754,0.7742045147187084,0.12645344509028125,0.07954746987182615,0.42249202845229333,0.38704930095658574,0.3442482217316654,0.3132205052734854,0.2744665194996321,0.2514103507480991,0.23031640912435614,0.21326956095168015,0.17929850380181506,0.11344125582536178,ResNeXt101_32X8D,TempScaleWrapper,entropy,16.41,88.8,test
0.6990434142752023,0.3593198416520094,0.0024637809368594737,1.5042304524911159,0.14631126821041107,0.861507206279758,0.0982221992303385,0.04753436229818493,0.6073092960510179,0.5833946529310767,0.5618101545253863,0.5401030169242089,0.5093205788570027,0.47657591366200636,0.42469953397105714,0.341672798626441,0.2779004169732647,0.0952906548933039,RegNet_X_400MF,None,softmax_response,0.41,5.5,test
0.6990434142752023,0.3593198416520094,0.0024637809368594737,1.5042304524911159,0.14631126821041107,0.861043194784026,0.09830721174298826,0.0476193748108347,0.6075545744419917,0.5889134167279862,0.5662251655629139,0.539121903360314,0.5094432180524896,0.4726514594064263,0.4239636987981359,0.3373804267844003,0.2790041697326466,0.09823399558498896,RegNet_X_400MF,None,entropy,0.41,5.5,test
0.6990434142752023,0.3593198416520094,0.0022795461107259344,1.2145955828289396,0.02334008365869522,0.857305652068231,0.10009549637974821,0.04940765944759465,0.6031395634044641,0.5847436840814324,0.5572725042923719,0.5301692420897719,0.4961981849399068,0.458915869511896,0.3969830757910228,0.3202109394162374,0.24932548442482216,0.0870738287956831,RegNet_X_400MF,TempScaleWrapper,softmax_response,0.41,5.5,test
0.6990434142752023,0.3593198416520094,0.0022795461107259344,1.2145955828289396,0.02334008365869522,0.8323433277570454,0.10787832899523392,0.057190492063080356,0.5730929605101791,0.5517537404954623,0.5293107677213638,0.5004905567819475,0.4665194996320824,0.4271523178807947,0.3718420407162129,0.31358842285994604,0.22148638704930096,0.08449840569045867,RegNet_X_400MF,TempScaleWrapper,entropy,0.41,5.5,test
0.7103262202599951,0.33603072214883306,0.0022252080093421896,1.2248985479102845,0.11675573140382767,0.8898123225237532,0.08223942555304399,0.03550143544548265,0.6770909982830513,0.6515820456217807,0.6287711552612215,0.5974981604120677,0.5685553102771645,0.5309050772626932,0.49681138091734117,0.4392935982339956,0.3464557272504292,0.2223448614177091,RegNet_X_3_2GF,None,softmax_response,3.18,15.3,test
0.7103262202599951,0.33603072214883306,0.0022252080093421896,1.2248985479102845,0.11675573140382767,0.8910075461028906,0.08203450645048678,0.03529651634292544,0.6735344616139318,0.6547706647044396,0.6255825361785626,0.5971302428256071,0.5582536178562668,0.5261221486387049,0.47878341918077016,0.4299730193769929,0.3422859946038754,0.2305616875153299,RegNet_X_3_2GF,None,entropy,3.18,15.3,test
0.7103262202599951,0.33603072214883306,0.002102104498617396,1.083635430087583,0.03474655747413635,0.8889959537170017,0.08273620161745011,0.03599821150988877,0.6747608535688006,0.6506009320578857,0.6220259995094433,0.5892813343144468,0.5504047093451067,0.5166789305862154,0.46946284032376745,0.40519990188864363,0.33272013735589895,0.2403728231542801,RegNet_X_3_2GF,TempScaleWrapper,softmax_response,3.18,15.3,test
0.7103262202599951,0.33603072214883306,0.002102104498617396,1.083635430087583,0.03474655747413635,0.8701294173165357,0.0888868972047527,0.04214890709719135,0.6362521461859211,0.6044885945548197,0.5659798871719401,0.5351974491047339,0.506990434142752,0.47032131469217564,0.423841059602649,0.3720873191071867,0.3359087564385578,0.24221241108658328,RegNet_X_3_2GF,TempScaleWrapper,entropy,3.18,15.3,test
0.7328918322295805,0.38013775852213294,0.0021889290782719727,1.4132788710939264,0.1246250569820404,0.8725244565651649,0.07914232737416689,0.03976916328443826,0.6875153298994359,0.6597988717194015,0.6242335050282071,0.5924699533971057,0.5593573706156487,0.48724552366936474,0.447878341918077,0.38202109394162376,0.31125827814569534,0.19475104243316163,ResNet152,None,softmax_response,11.51,60.2,test
0.7328918322295805,0.38013775852213294,0.0021889290782719727,1.4132788710939264,0.1246250569820404,0.8727492999239075,0.07922570568280435,0.03985254159307572,0.6870247731174883,0.6564876134412558,0.6226391954868776,0.5835172921265637,0.5564140299239637,0.4866323276919303,0.4435859700760363,0.38594554819720384,0.30512631837135146,0.19843021829776797,ResNet152,None,entropy,11.51,60.2,test
0.7328918322295805,0.38013775852213294,0.002081380526186164,1.137315673828047,0.04097256436944008,0.8619278921624668,0.08317027494212587,0.043797110852397236,0.6656855531027717,0.6336767230806966,0.5984792739759627,0.5652440519990188,0.5198675496688742,0.44984056904586706,0.3915869511896002,0.3381162619573216,0.27974000490556783,0.1751287711552612,ResNet152,TempScaleWrapper,softmax_response,11.51,60.2,test
0.7328918322295805,0.38013775852213294,0.002081380526186164,1.137315673828047,0.04097256436944008,0.8181164741611072,0.09640294522838995,0.05702978113866132,0.5903850870738288,0.5629139072847682,0.5322541084130488,0.49595290654893304,0.43635025754231055,0.39796418935491784,0.3623988226637233,0.2842776551385823,0.229457934755948,0.1648270787343635,ResNet152,TempScaleWrapper,entropy,11.51,60.2,test
0.7651459406426294,0.4195468194470135,0.0017521218625971319,0.9589779632330193,0.04744372516870499,0.9067901438646901,0.055952454889563547,0.025904910534774138,0.7733627667402502,0.7526367427029679,0.7352219769438313,0.7169487368162865,0.6942604856512141,0.6633554083885209,0.6362521461859211,0.6059602649006622,0.5186411577140054,0.2251655629139073,ConvNeXt_Tiny,None,softmax_response,4.46,28.6,test
0.7651459406426294,0.4195468194470135,0.0017521218625971319,0.9589779632330193,0.04744372516870499,0.9059031937986313,0.05607335113062277,0.02602580677583336,0.7745891586951189,0.7549668874172185,0.7341182241844494,0.7159676232523915,0.6949963208241354,0.6691194505764042,0.6428746627422124,0.6035074809909247,0.5046602894285014,0.23460878096639687,ConvNeXt_Tiny,None,entropy,4.46,28.6,test
0.7651459406426294,0.4195468194470135,0.0017326241027507067,0.9078945238586982,0.02854866534471512,0.9073077755230408,0.05566332714505962,0.025615782790270214,0.7758155506499878,0.7582781456953642,0.7384105960264901,0.7196467991169978,0.6940152072602404,0.6675251410350748,0.6423841059602649,0.6031395634044641,0.4911699779249448,0.240495462349767,ConvNeXt_Tiny,TempScaleWrapper,softmax_response,4.46,28.6,test
0.7651459406426294,0.4195468194470135,0.0017326241027507067,0.9078945238586982,0.02854866534471512,0.8994125221747978,0.057594881249005185,0.027547336894215776,0.7653912190336032,0.7458915869511896,0.7249202845229336,0.7081187147412313,0.6894775570272259,0.6642138827569292,0.6145450085847437,0.567083639931322,0.47277409860191316,0.24797645327446652,ConvNeXt_Tiny,TempScaleWrapper,entropy,4.46,28.6,test
0.7572970321314693,0.41124446223804967,0.0019493460772554388,1.2790958311749152,0.10111067444086075,0.8804529748595066,0.07072924170897504,0.03853975641334967,0.7347314201618838,0.7122884473877852,0.6916850625459897,0.6624969340201128,0.6429973019376993,0.6100073583517293,0.5537159676232524,0.4911699779249448,0.013735589894530291,0.008462104488594555,Swin_T,None,softmax_response,4.49,28.3,test
