model_name,source,wrapper,m_head,batch_size,latency_sec,throughput_samples_per_sec
ConvNeXt_Base,torchvision,base,1,32,0.2943750286102295,108.70487266217798
ConvNeXt_Base,torchvision,temp_scale,1,32,0.2943751811981201,108.70481631555545
ConvNeXt_Base,torchvision,shallow_ensemble,2,32,0.2978363990783691,107.44153534968001
ConvNeXt_Base,torchvision,duo,2,32,0.5889522743225097,54.33377439082072
ConvNeXt_Small,torchvision,base,1,32,0.19354107856750488,165.3395766772002
ConvNeXt_Small,torchvision,temp_scale,1,32,0.19349092483520508,165.3824334513579
ConvNeXt_Small,torchvision,shallow_ensemble,2,32,0.19288081169128418,165.9055647858724
ConvNeXt_Small,torchvision,duo,2,32,0.3874192142486572,82.59786511120598
ConvNeXt_Tiny,torchvision,base,1,32,0.10728549003601075,298.26959814658153
ConvNeXt_Tiny,torchvision,temp_scale,1,32,0.10721393585205079,298.4686621724083
ConvNeXt_Tiny,torchvision,shallow_ensemble,2,32,0.10759428501129151,297.4135661261353
ConvNeXt_Tiny,torchvision,duo,2,32,0.21417603492736817,149.40980680145614
EfficientNet_B0,torchvision,base,1,32,0.0285842227935791,1119.4986909767645
EfficientNet_B0,torchvision,temp_scale,1,32,0.02857639789581299,1119.8052363586607
EfficientNet_B0,torchvision,shallow_ensemble,2,32,0.028582282066345215,1119.574704557235
EfficientNet_B0,torchvision,duo,2,32,0.057160568237304685,559.8264850543569
EfficientNet_B1,torchvision,base,1,32,0.04151912689208984,770.7291168036722
EfficientNet_B1,torchvision,temp_scale,1,32,0.04151485443115235,770.8084356424362
EfficientNet_B1,torchvision,shallow_ensemble,2,32,0.041529512405395506,770.5363763395056
EfficientNet_B1,torchvision,duo,2,32,0.0830656623840332,385.23740233426474
EfficientNet_B2,torchvision,base,1,32,0.044165329933166506,724.5502308807435
EfficientNet_B2,torchvision,temp_scale,1,32,0.04417367458343506,724.413359354077
EfficientNet_B2,torchvision,shallow_ensemble,2,32,0.04418753623962402,724.1861104558446
EfficientNet_B2,torchvision,duo,2,32,0.08837604522705078,362.0890696996838
EfficientNet_B3,torchvision,base,1,32,0.05807785987854004,550.984489905836
EfficientNet_B3,torchvision,temp_scale,1,32,0.058087215423583985,550.8957481719408
EfficientNet_B3,torchvision,shallow_ensemble,2,32,0.058115386962890626,550.6287004581676
EfficientNet_B3,torchvision,duo,2,32,0.11622446060180663,275.329305331296
EfficientNet_B4,torchvision,base,1,32,0.08150372505187989,392.62009165385894
EfficientNet_B4,torchvision,temp_scale,1,32,0.08150792598724366,392.599855933129
EfficientNet_B4,torchvision,shallow_ensemble,2,32,0.08152634143829346,392.5111741242615
EfficientNet_B4,torchvision,duo,2,32,0.16303990840911864,196.27096403723368
EfficientNet_V2_S,torchvision,base,1,32,0.06373871803283691,502.04963305842205
EfficientNet_V2_S,torchvision,temp_scale,1,32,0.06375556468963622,501.9169723580498
EfficientNet_V2_S,torchvision,shallow_ensemble,2,32,0.06379379272460937,501.61620172264094
EfficientNet_V2_S,torchvision,duo,2,32,0.1275652503967285,250.85201416906136
MNASNet0_5,torchvision,base,1,32,0.011558871269226074,2768.4364030591514
MNASNet0_5,torchvision,temp_scale,1,32,0.011569795608520507,2765.822412319349
MNASNet0_5,torchvision,shallow_ensemble,2,32,0.011581721305847168,2762.9744452445443
MNASNet0_5,torchvision,duo,2,32,0.02314809799194336,1382.40299531899
MNASNet0_75,torchvision,base,1,32,0.01709358215332031,1872.0476324375472
MNASNet0_75,torchvision,temp_scale,1,32,0.017099571228027344,1871.3919532409006
MNASNet0_75,torchvision,shallow_ensemble,2,32,0.017108240127563477,1870.4437020640169
MNASNet0_75,torchvision,duo,2,32,0.034211549758911136,935.3566332277861
MNASNet1_0,torchvision,base,1,32,0.020399017333984373,1568.703015252044
MNASNet1_0,torchvision,temp_scale,1,32,0.020407938957214357,1568.0172342287296
MNASNet1_0,torchvision,shallow_ensemble,2,32,0.0204233980178833,1566.8303566321285
MNASNet1_0,torchvision,duo,2,32,0.04083489418029785,783.6435147526221
MNASNet1_3,torchvision,base,1,32,0.02751033306121826,1163.199294199418
MNASNet1_3,torchvision,temp_scale,1,32,0.027512192726135254,1163.120668662718
